61,100
160,101
262,107
369,116
484,130
613,149
761,174
932,208
1136,252
1260,291
1382,334
1504,382
1624,434
1743,490
1860,551
2347,715
2828,896
3304,1094
3774,1309
4237,1541
4693,1789
5141,2053
7007,2909
8844,3830
10651,4817
10567,5001

